Index,Username,Comment
40,@khaledhasan631,"I have spent an productive hour with this video. I watched this video without skipping any sequence. The story telling was great from Shahrose vai. Currently,, I am studying in CSE but I like this type podcast by which I can spent my leisure time very productively and this video is one of them. Thanks a lot. Doing great guys."
41,@towsefahmed9010,"One of the best postcard in 2cent podcast. 
Love from dhaka ️ thanks for sharing your thoughs and we know you are the greatest mentor in the field.
Difference between you and other marketer?
They teach how it will works and you know whats going on in the audience and what they want️"
42,@imran.2003,"নাফিস ভাই ! দক্ষিণ এশিয়ার সেরা উদ্যোক্তা পুরস্কার প্রাপ্ত, বাংলাদেশের জনপ্রিয় অ্যাপস ডেভেলপার,
মো: জোবায়ের হোসেন ভাই কে আপনাদের পোগ্রামে দেখতে চাই,  প্লিজ প্লিজ প্লিজ "
43,@ksiripon1,"Thank you, Nafeez bhai, to invite him this extra ordinary session "
44,@ElhamBinAhmed,"Well, marketing is a cool thing we agree.  But is it morally fine to sell a stuff at 2000 which should be sold at 1000? Won't it be injustice if we think about the quality?"
45,@edukashion-jn3fz,"things I learnt in a new fashion:
-> you can start with zero capital (creating content, funneling people who want to read it to an ebook)
-> storytelling, capturing ATTENTION and giving them a call to action 
-> it is not only me, it's me & you vs the problem in a partnership"
46,@b.m.sajolmahmud6752,In a word mind blowing. We should take an effective step to make life meaningful.
47,@hasanpranto7689,Bring Numeri Sattar Apar from ACS. He recently generated 12 Crores from a single course.
48,@Dreamwins2001,This podcast is exclusive informative and helpful for everyone..
49,@IamShahRoseFaRdi,"ধন্যবাদ আমাকে এমন একটি সুযোগ দেয়ার জন্য, ইনশাআল্লাহ এই ১ ঘন্টা ১৮ মিনিট কারো বিফলে যাবে না "
50,@ayshasiddika2273,অনেক ধন্যবাদ ফারদি ভাইয়াকে। আজ স্টোরি টেলিং টাইপের এড করে যে মানুষের হৃদয় ছোঁয়া যায় কোন একটা প্রোডাক্টের প্রতি এতটা আকর্ষিত করা যেতে পারে এটার সত্যিকার অর্থে অনুধাবনটা আমার আজকে হল।
51,@abdullahalmehadymeraz4428,"Outstanding confident Hero. আপনি একজন নলেজ শেয়ারিং এন্ড ক্যারিং পারসন ভাইয়া অনেক ধন্যবাদ।

আপনাকে আমরা আরও অনেক ইন ডিটেলসে দেখতে চাই। "
52,@ashanulkabir4651,সত্যিই অসাধারণ। কখন যে সময় শেষ হয়েছে বুঝতেই পারলাম না। আরও শোনার জন্য প্রস্তুত ছিলাম কিন্তু ততক্ষণে শেষ।
